,SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,GENDER,Car,House,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,DAYS_EMPLOYED,MOBILE,WORK_PHONE,HOME_PHONE,MOBILE_REACHABLE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,APPLICATION_DAY,TOTAL_DOC_SUBMITTED
15071,117596,1,Cash loans,M,N,N,0,90000.0,450000.0,450000.0,Unaccompanied,Working,Secondary / secondary special,Married,-1127,1,1,1,1,0,High skill tech staff,2.0,WEDNESDAY,1
15460,118041,1,Cash loans,M,N,N,0,202500.0,397881.0,328500.0,Other_A,Working,Secondary / secondary special,Civil marriage,-1440,1,1,0,1,0,Laborers,2.0,THURSDAY,1
15513,118105,1,Cash loans,F,N,N,2,90000.0,781695.0,652500.0,Unaccompanied,Working,Secondary / secondary special,Married,-3226,1,1,1,1,0,Laborers,4.0,TUESDAY,1
15682,118298,1,Cash loans,M,N,N,0,76500.0,54000.0,54000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,-1600,1,1,0,1,0,Sales staff,1.0,WEDNESDAY,1
15741,118372,1,Cash loans,M,N,N,0,270000.0,450000.0,450000.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,-1346,1,1,1,1,0,Drivers,2.0,WEDNESDAY,1
15836,118477,1,Cash loans,F,N,N,1,157500.0,835380.0,675000.0,Unaccompanied,Commercial associate,Lower secondary,Married,-1596,1,1,0,1,0,Low-skill Laborers,3.0,TUESDAY,1
15859,118505,1,Cash loans,F,N,N,0,234000.0,285723.0,238500.0,Family,Commercial associate,Secondary / secondary special,Married,-3225,1,1,0,1,0,Laborers,2.0,TUESDAY,1
15931,118593,1,Cash loans,M,N,N,0,202500.0,473760.0,450000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,-1462,1,1,1,1,0,Laborers,1.0,SATURDAY,1
16296,119005,1,Cash loans,M,N,N,0,135000.0,521280.0,450000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,-1376,1,1,1,1,0,Laborers,1.0,TUESDAY,1
16424,119155,1,Cash loans,F,N,N,2,169591.5,1535553.0,1372500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,-3220,1,1,1,1,0,Sales staff,4.0,WEDNESDAY,1
16520,119273,1,Cash loans,F,N,N,1,45000.0,331834.5,252000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,-2853,1,1,0,1,0,Cooking staff,3.0,MONDAY,1
16568,119327,1,Cash loans,M,N,N,1,67500.0,592560.0,450000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,-5618,1,1,0,1,0,Security staff,3.0,THURSDAY,1
16593,119357,1,Cash loans,F,N,N,0,135000.0,1104997.5,990000.0,Unaccompanied,Working,Secondary / secondary special,Widow,-1651,1,1,0,1,0,Sales staff,1.0,SUNDAY,1
16640,119411,1,Cash loans,F,N,N,0,162000.0,746280.0,675000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,-4032,1,1,1,1,0,Core staff,2.0,FRIDAY,1
16648,119420,1,Cash loans,F,N,N,0,271350.0,1024290.0,855000.0,Family,Working,Secondary / secondary special,Married,-2507,1,1,0,1,0,Laborers,2.0,SUNDAY,1
16664,119437,1,Cash loans,F,N,N,0,180000.0,451102.5,337500.0,Unaccompanied,Working,Secondary / secondary special,Married,-2931,1,1,0,1,1,Laborers,2.0,FRIDAY,1
16702,119479,1,Cash loans,M,N,N,0,180000.0,813195.0,702000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,-1460,1,1,0,1,0,Laborers,2.0,TUESDAY,1
16855,119656,1,Cash loans,F,N,N,0,90000.0,152820.0,135000.0,Unaccompanied,Working,Secondary / secondary special,Married,-1306,1,1,1,1,0,Sales staff,2.0,FRIDAY,1
16976,119800,1,Cash loans,F,N,N,0,202500.0,651600.0,562500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Widow,-1795,1,1,0,1,0,Cleaning staff,1.0,FRIDAY,1
17190,120052,1,Cash loans,F,N,N,0,76500.0,598486.5,454500.0,Unaccompanied,Working,Secondary / secondary special,Married,-1617,1,1,1,1,0,Core staff,2.0,MONDAY,1
17242,120112,1,Cash loans,M,N,N,0,135000.0,675000.0,675000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,-2120,1,1,0,1,0,High skill tech staff,2.0,SUNDAY,1
17275,120147,1,Cash loans,F,N,N,0,72000.0,454500.0,454500.0,Unaccompanied,Working,Secondary / secondary special,Married,-1334,1,1,1,1,0,Cooking staff,2.0,SATURDAY,1
17324,120204,1,Cash loans,F,N,N,2,81000.0,545040.0,450000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,-1318,1,1,0,1,0,Laborers,4.0,MONDAY,1
17453,120355,1,Cash loans,M,N,N,1,157500.0,497520.0,450000.0,Unaccompanied,Working,Secondary / secondary special,Married,-3108,1,1,0,1,0,Security staff,3.0,FRIDAY,1
17783,120735,1,Cash loans,M,N,N,0,135000.0,1288350.0,1125000.0,Family,Working,Secondary / secondary special,Married,-4247,1,1,1,1,0,Drivers,2.0,SUNDAY,1
17820,120780,1,Cash loans,F,N,N,0,112500.0,545040.0,450000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Civil marriage,-1349,1,1,1,1,0,Laborers,2.0,SUNDAY,1
18142,121161,1,Cash loans,F,N,N,1,108000.0,454500.0,454500.0,Unaccompanied,Working,Secondary / secondary special,Separated,-4082,1,1,0,1,0,Laborers,2.0,MONDAY,1
18240,121275,1,Cash loans,F,N,N,0,112500.0,161730.0,135000.0,Unaccompanied,Working,Higher education,Married,-1613,1,1,1,1,0,Core staff,2.0,THURSDAY,1
18355,121410,1,Cash loans,F,N,N,1,180000.0,378117.0,342000.0,Unaccompanied,Working,Secondary / secondary special,Married,-3412,1,1,0,1,0,Core staff,3.0,THURSDAY,1
18548,121642,1,Cash loans,F,N,N,0,27000.0,225000.0,225000.0,Family,Working,Higher education,Civil marriage,-5067,1,1,1,1,0,Managers,2.0,MONDAY,1
18702,121807,1,Cash loans,M,N,N,4,270000.0,247275.0,225000.0,Unaccompanied,Working,Secondary / secondary special,Married,-3075,1,1,1,1,0,Laborers,6.0,MONDAY,1
18709,121814,1,Cash loans,F,N,N,0,306000.0,156384.0,135000.0,Family,Working,Secondary / secondary special,Single / not married,-2583,1,1,0,1,0,Laborers,1.0,SATURDAY,1
18934,122079,1,Cash loans,M,N,N,0,180000.0,313438.5,283500.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,-3503,1,1,0,1,0,Laborers,2.0,WEDNESDAY,1
18996,122153,1,Cash loans,F,N,N,0,157500.0,1138500.0,1138500.0,Unaccompanied,State servant,Secondary / secondary special,Married,-7783,1,1,1,1,0,Core staff,2.0,THURSDAY,1
19075,122247,1,Cash loans,F,N,N,2,211500.0,545040.0,450000.0,Children,Working,Secondary / secondary special,Single / not married,-2746,1,1,0,1,0,Laborers,3.0,SATURDAY,1
19400,122628,1,Cash loans,M,N,N,3,180000.0,1535553.0,1372500.0,Unaccompanied,Working,Secondary / secondary special,Married,-3190,1,1,0,1,0,Laborers,5.0,SATURDAY,1
19419,122651,1,Cash loans,F,N,N,0,180000.0,284400.0,225000.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,-2419,1,1,1,1,0,Laborers,2.0,FRIDAY,1
19537,122781,1,Cash loans,M,N,N,0,180000.0,720000.0,720000.0,Unaccompanied,Working,Higher education,Married,-1848,1,1,0,1,0,Laborers,2.0,MONDAY,1
19684,122952,1,Cash loans,F,N,N,0,49500.0,78192.0,67500.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,-1580,1,1,1,1,0,Cleaning staff,1.0,THURSDAY,1
19714,122986,1,Cash loans,F,N,N,0,94500.0,472500.0,472500.0,Unaccompanied,Working,Secondary / secondary special,Married,-2202,1,1,0,1,0,Core staff,2.0,THURSDAY,1
19801,123093,1,Cash loans,F,N,N,0,67500.0,576000.0,576000.0,Unaccompanied,Working,Secondary / secondary special,Married,-3055,1,1,0,1,1,Cleaning staff,2.0,FRIDAY,0
19862,123166,1,Cash loans,M,N,N,0,174150.0,545040.0,450000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,-1270,1,1,0,1,0,Sales staff,1.0,WEDNESDAY,1
20019,123353,1,Cash loans,F,N,N,0,90000.0,976077.0,922500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,-6299,1,1,0,1,0,Medicine staff,2.0,MONDAY,1
20036,123373,1,Cash loans,F,N,N,0,225000.0,993082.5,913500.0,Unaccompanied,Working,Higher education,Married,-1996,1,1,0,1,0,Managers,2.0,THURSDAY,1
20053,123394,1,Cash loans,F,N,N,1,112500.0,808650.0,675000.0,Unaccompanied,State servant,Higher education,Married,-3514,1,1,0,1,0,Core staff,3.0,FRIDAY,1
20166,123523,1,Cash loans,M,N,N,0,225000.0,594000.0,594000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,-1810,1,1,0,1,0,Laborers,1.0,WEDNESDAY,1
20168,123525,1,Cash loans,M,N,N,0,236250.0,597339.0,553500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,-1408,1,1,0,1,0,Security staff,1.0,MONDAY,1
20252,123631,1,Cash loans,F,N,N,2,225000.0,1125000.0,1125000.0,Unaccompanied,Working,Secondary / secondary special,Married,-4677,1,1,1,1,0,Sales staff,4.0,MONDAY,1
20383,123779,1,Cash loans,F,N,N,0,202500.0,755190.0,675000.0,Unaccompanied,Commercial associate,Higher education,Single / not married,-2515,1,1,1,1,0,Waiters/barmen staff,1.0,MONDAY,1
20452,123856,1,Cash loans,F,N,N,1,112500.0,1260702.0,1129500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,-2938,1,1,0,1,0,Laborers,3.0,WEDNESDAY,1
20601,124019,1,Cash loans,M,N,N,1,112500.0,1078200.0,900000.0,Unaccompanied,Working,Secondary / secondary special,Married,-3403,1,1,0,1,0,Security staff,3.0,MONDAY,1
20622,124044,1,Cash loans,F,N,N,2,166500.0,781920.0,675000.0,Unaccompanied,Working,Secondary / secondary special,Married,-1473,1,1,0,1,0,Waiters/barmen staff,4.0,SATURDAY,1
20625,124047,1,Cash loans,M,N,N,0,157500.0,152820.0,135000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,-2472,1,1,1,1,0,Laborers,2.0,SUNDAY,1
20674,124102,1,Cash loans,F,N,N,1,135000.0,1288350.0,1125000.0,Unaccompanied,Working,Secondary / secondary special,Married,-6608,1,1,0,1,0,Private service staff,3.0,MONDAY,1
20939,124399,1,Cash loans,F,N,N,0,81000.0,312768.0,270000.0,Unaccompanied,Working,Secondary / secondary special,Married,-1069,1,1,0,1,0,Laborers,2.0,MONDAY,1
21063,124544,1,Cash loans,M,N,N,0,135000.0,634482.0,454500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,-1167,1,1,0,1,0,Laborers,2.0,MONDAY,1
21107,124599,1,Cash loans,F,N,N,0,81000.0,450000.0,450000.0,Unaccompanied,Working,Incomplete higher,Single / not married,-1405,1,1,1,1,0,Laborers,1.0,FRIDAY,1
21320,124839,1,Cash loans,F,N,N,1,180000.0,450000.0,450000.0,Unaccompanied,Working,Secondary / secondary special,Married,-6192,1,1,1,1,0,Private service staff,3.0,WEDNESDAY,1
21355,124881,1,Cash loans,F,N,N,0,90000.0,348264.0,315000.0,Family,Working,Secondary / secondary special,Married,-1151,1,1,1,1,0,Core staff,2.0,SUNDAY,1
21429,124966,1,Cash loans,F,N,N,1,126000.0,495000.0,495000.0,Unaccompanied,Commercial associate,Higher education,Married,-3747,1,1,0,1,0,Core staff,3.0,SUNDAY,1
21874,125482,1,Cash loans,F,N,N,0,121500.0,1051294.5,918000.0,Unaccompanied,Working,Secondary / secondary special,Separated,-1221,1,1,0,1,0,Security staff,1.0,THURSDAY,2
21888,125498,1,Cash loans,F,N,N,0,157500.0,426600.0,337500.0,Unaccompanied,Working,Higher education,Married,-3672,1,1,0,1,0,HR staff,2.0,FRIDAY,2
22102,125739,1,Cash loans,M,N,N,0,157500.0,450000.0,450000.0,Unaccompanied,Working,Secondary / secondary special,Married,-1496,1,1,0,1,0,Low-skill Laborers,2.0,FRIDAY,1
22132,125773,1,Cash loans,M,N,N,0,157500.0,1042560.0,900000.0,Family,Commercial associate,Higher education,Single / not married,-1081,1,1,0,1,0,Core staff,1.0,WEDNESDAY,1
22220,125870,1,Cash loans,M,N,N,0,157500.0,647046.0,463500.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,-1609,1,1,0,1,0,Laborers,2.0,WEDNESDAY,1
22381,126050,1,Cash loans,F,N,N,0,67500.0,135000.0,135000.0,Unaccompanied,Working,Higher education,Married,-11106,1,1,1,1,0,Laborers,2.0,THURSDAY,1
22439,126112,1,Cash loans,M,N,N,0,135000.0,808650.0,675000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Widow,-1283,1,1,0,1,0,Laborers,1.0,TUESDAY,1
22470,126147,1,Cash loans,F,N,N,0,157500.0,545040.0,450000.0,"Spouse, partner",Working,Secondary / secondary special,Married,-7870,1,1,0,1,0,Cleaning staff,2.0,THURSDAY,1
22573,126269,1,Cash loans,F,N,N,0,90000.0,450000.0,450000.0,Unaccompanied,Working,Secondary / secondary special,Married,-1337,1,1,0,1,0,Laborers,2.0,FRIDAY,1
22590,126287,1,Cash loans,M,N,N,1,270000.0,679500.0,679500.0,Unaccompanied,Working,Lower secondary,Married,-1317,1,1,1,1,0,Security staff,3.0,TUESDAY,1
22690,126401,1,Cash loans,M,N,N,0,135000.0,550980.0,450000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,-1051,1,1,0,1,1,Laborers,1.0,WEDNESDAY,1
22802,126534,1,Cash loans,F,N,N,1,225000.0,1546020.0,1350000.0,Unaccompanied,State servant,Secondary / secondary special,Married,-7500,1,1,1,1,0,Medicine staff,3.0,TUESDAY,1
22851,126590,1,Cash loans,M,N,N,0,135000.0,675000.0,675000.0,Family,Working,Secondary / secondary special,Married,-1647,1,1,1,1,0,Core staff,2.0,SATURDAY,1
23106,126889,1,Cash loans,F,N,N,0,202500.0,640080.0,450000.0,Unaccompanied,Working,Secondary / secondary special,Married,-2257,1,1,0,1,0,Laborers,2.0,THURSDAY,1
23246,127046,1,Cash loans,M,N,N,1,180000.0,693301.5,598500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Separated,-1764,1,1,0,1,0,Drivers,2.0,MONDAY,1
23287,127091,1,Cash loans,F,N,N,1,112500.0,270000.0,270000.0,Unaccompanied,Working,Secondary / secondary special,Separated,-1875,1,1,0,1,0,Laborers,2.0,FRIDAY,1
23298,127104,1,Cash loans,F,N,N,1,112500.0,138204.0,99000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,-1152,1,1,0,1,0,Sales staff,3.0,THURSDAY,1
23371,127194,1,Cash loans,M,N,N,0,112500.0,277969.5,229500.0,Unaccompanied,Commercial associate,Incomplete higher,Single / not married,-1230,1,1,0,1,0,Core staff,1.0,TUESDAY,1
23881,127782,1,Cash loans,F,N,N,9,180000.0,640080.0,450000.0,Unaccompanied,Commercial associate,Higher education,Single / not married,-1042,1,1,1,1,0,Sales staff,10.0,THURSDAY,1
24305,128270,1,Cash loans,F,N,N,0,67500.0,277969.5,229500.0,Family,Working,Higher education,Single / not married,-1501,1,1,0,1,0,Managers,1.0,MONDAY,1
24310,128277,1,Cash loans,F,N,N,1,67500.0,457834.5,378000.0,Family,Commercial associate,Secondary / secondary special,Married,-2053,1,1,0,1,0,Sales staff,3.0,FRIDAY,1
24394,128375,1,Cash loans,F,N,N,1,126000.0,755190.0,675000.0,"Spouse, partner",Working,Secondary / secondary special,Married,-1158,1,1,0,1,0,Sales staff,3.0,MONDAY,1
24433,128419,1,Cash loans,F,N,N,0,67500.0,327024.0,270000.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,-1493,1,1,0,1,0,Medicine staff,2.0,WEDNESDAY,1
24600,128620,1,Cash loans,F,N,N,0,157500.0,67500.0,67500.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,-2542,1,1,1,1,0,Sales staff,2.0,TUESDAY,1
24662,128685,1,Cash loans,M,N,N,1,157500.0,270000.0,270000.0,Family,Working,Higher education,Married,-1046,1,1,0,1,0,Core staff,3.0,WEDNESDAY,1
24687,128715,1,Cash loans,F,N,N,1,225000.0,675000.0,675000.0,Unaccompanied,Working,Higher education,Married,-1233,1,1,0,1,0,Accountants,3.0,TUESDAY,1
24881,128936,1,Cash loans,F,N,N,0,112500.0,675000.0,675000.0,Unaccompanied,Commercial associate,Higher education,Married,-1599,1,1,0,1,0,Private service staff,2.0,WEDNESDAY,1
24934,128999,1,Cash loans,F,N,N,0,67500.0,450000.0,450000.0,Unaccompanied,Working,Secondary / secondary special,Married,-1066,1,1,1,1,0,Laborers,2.0,THURSDAY,1
25082,129173,1,Cash loans,M,N,N,0,67500.0,172512.0,144000.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,-2077,1,1,1,1,0,Laborers,2.0,FRIDAY,1
25326,129457,1,Cash loans,F,N,N,0,112500.0,407520.0,360000.0,Unaccompanied,Working,Secondary / secondary special,Married,-1933,1,1,0,1,0,Drivers,2.0,FRIDAY,1
25432,129582,1,Cash loans,F,N,N,3,90000.0,835380.0,675000.0,Unaccompanied,Working,Secondary / secondary special,Married,-6570,1,1,0,1,0,Laborers,5.0,WEDNESDAY,1
25749,129936,1,Cash loans,M,N,N,0,270000.0,675000.0,675000.0,Unaccompanied,Working,Secondary / secondary special,Married,-3977,1,1,1,1,0,Laborers,2.0,SUNDAY,1
25876,130087,1,Cash loans,F,N,N,1,157500.0,781920.0,675000.0,Unaccompanied,State servant,Secondary / secondary special,Single / not married,-7934,1,1,1,1,0,High skill tech staff,2.0,TUESDAY,1
25877,130088,1,Cash loans,F,N,N,2,135000.0,277969.5,229500.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,-1638,1,1,0,1,0,Laborers,4.0,TUESDAY,1
25885,130096,1,Revolving loans,F,N,N,1,112500.0,202500.0,202500.0,Unaccompanied,Working,Secondary / secondary special,Married,-1344,1,1,0,1,0,Sales staff,3.0,FRIDAY,0
26104,130362,1,Cash loans,M,N,N,1,135000.0,308461.5,279000.0,Family,Working,Higher education,Married,-1448,1,1,1,1,0,Laborers,3.0,SATURDAY,1
26270,130554,1,Cash loans,F,N,N,1,135000.0,152820.0,135000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Civil marriage,-1607,1,1,0,1,0,Sales staff,3.0,MONDAY,1
26339,130630,1,Cash loans,F,N,N,2,135000.0,1288350.0,1125000.0,Unaccompanied,Working,Secondary / secondary special,Married,-1166,1,1,0,1,0,Core staff,4.0,WEDNESDAY,1
26467,130770,1,Cash loans,F,N,N,1,99000.0,454500.0,454500.0,"Spouse, partner",Working,Secondary / secondary special,Civil marriage,-4260,1,1,1,1,0,Core staff,3.0,SATURDAY,1
26639,130967,1,Cash loans,F,N,N,1,90000.0,641529.0,535500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Separated,-2483,1,1,1,1,0,Cleaning staff,2.0,FRIDAY,1
26748,131094,1,Cash loans,F,N,N,0,360000.0,900000.0,900000.0,Unaccompanied,Working,Secondary / secondary special,Married,-1035,1,1,0,1,0,Laborers,2.0,FRIDAY,1
26803,131154,1,Cash loans,F,N,N,2,90000.0,675000.0,675000.0,Family,Working,Secondary / secondary special,Married,-1850,1,1,1,1,0,Cooking staff,4.0,TUESDAY,1
26862,131220,1,Cash loans,F,N,N,1,90000.0,521280.0,450000.0,Unaccompanied,Working,Secondary / secondary special,Married,-1699,1,1,1,1,0,Cooking staff,3.0,TUESDAY,1
26926,131296,1,Cash loans,F,N,N,0,135000.0,916470.0,765000.0,Unaccompanied,Working,Secondary / secondary special,Widow,-1693,1,1,0,1,0,Cleaning staff,1.0,THURSDAY,1
27043,131434,1,Cash loans,F,N,N,0,157500.0,675000.0,675000.0,Unaccompanied,Working,Secondary / secondary special,Widow,-1362,1,1,1,1,0,Laborers,1.0,MONDAY,1
27085,131482,1,Cash loans,F,N,N,0,202500.0,1675413.0,1530000.0,Unaccompanied,State servant,Secondary / secondary special,Married,-3998,1,1,0,1,0,Medicine staff,2.0,WEDNESDAY,1
27716,132226,1,Cash loans,F,N,N,1,157500.0,199008.0,180000.0,Unaccompanied,Working,Secondary / secondary special,Married,-1548,1,1,1,1,0,Laborers,3.0,TUESDAY,1
27815,132335,1,Cash loans,M,N,N,0,54000.0,170640.0,135000.0,Family,Working,Secondary / secondary special,Married,-1875,1,1,0,1,0,Security staff,2.0,WEDNESDAY,1
27990,132538,1,Cash loans,F,N,N,1,225000.0,2125953.0,1984500.0,Unaccompanied,Commercial associate,Higher education,Civil marriage,-2833,1,1,0,1,0,Managers,3.0,WEDNESDAY,1
27994,132542,1,Cash loans,F,N,N,1,135000.0,301464.0,238500.0,Unaccompanied,Working,Secondary / secondary special,Married,-2613,1,1,0,1,0,Laborers,3.0,SUNDAY,1
28003,132551,1,Cash loans,F,N,N,0,202500.0,1661418.0,1485000.0,Unaccompanied,State servant,Secondary / secondary special,Civil marriage,-2844,1,1,1,1,0,Medicine staff,2.0,SUNDAY,1
28049,132603,1,Cash loans,F,N,N,0,193500.0,900000.0,900000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,-2386,1,1,1,1,0,Laborers,2.0,MONDAY,1
28392,132999,1,Cash loans,M,N,N,0,136800.0,1436850.0,1125000.0,Family,Working,Secondary / secondary special,Married,-2432,1,1,1,1,0,Security staff,2.0,SATURDAY,2
28561,133194,1,Cash loans,F,N,N,1,63000.0,191880.0,180000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,-2110,1,1,1,1,0,Waiters/barmen staff,2.0,THURSDAY,1
28592,133225,1,Cash loans,F,N,N,3,90000.0,335592.0,265500.0,Unaccompanied,Working,Lower secondary,Married,-1059,1,1,0,1,0,Laborers,5.0,THURSDAY,1
28887,133565,1,Cash loans,F,N,N,0,135000.0,696150.0,562500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,-2339,1,1,0,1,0,Laborers,2.0,MONDAY,1
28890,133568,1,Cash loans,F,N,N,0,90000.0,592560.0,450000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,-3029,1,1,0,1,0,Laborers,2.0,FRIDAY,1
28936,133621,1,Cash loans,F,N,N,1,67500.0,460858.5,324000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,-1469,1,1,0,1,0,Laborers,3.0,SATURDAY,1
29007,133703,1,Cash loans,F,N,N,0,121500.0,846000.0,846000.0,Unaccompanied,Working,Secondary / secondary special,Married,-5776,1,1,0,1,0,Laborers,2.0,SUNDAY,1
29182,133897,1,Cash loans,F,N,N,1,180000.0,454500.0,454500.0,Unaccompanied,Working,Secondary / secondary special,Married,-1333,1,1,0,1,0,Core staff,3.0,FRIDAY,1
29185,133900,1,Cash loans,F,N,N,1,90000.0,192874.5,166500.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,-3529,1,1,0,1,0,Medicine staff,2.0,TUESDAY,1
29252,133978,1,Cash loans,M,N,N,0,180000.0,771493.5,666000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,-1107,1,1,0,1,0,Managers,1.0,THURSDAY,0
29448,134193,1,Cash loans,F,N,N,0,225000.0,386977.5,319500.0,Unaccompanied,Working,Secondary / secondary special,Married,-2679,1,1,0,1,0,Laborers,2.0,FRIDAY,1
29479,134228,1,Cash loans,M,N,N,0,270000.0,599472.0,517500.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,-1819,1,1,0,1,0,High skill tech staff,2.0,SUNDAY,1
29608,134378,1,Cash loans,M,N,N,0,157500.0,450000.0,450000.0,Unaccompanied,Working,Secondary / secondary special,Married,-6932,1,1,1,1,1,Laborers,2.0,FRIDAY,1
29705,134487,1,Cash loans,M,N,N,0,225000.0,224136.0,198000.0,Other_B,Working,Secondary / secondary special,Single / not married,-1373,1,1,0,1,0,Laborers,1.0,WEDNESDAY,1
29717,134502,1,Cash loans,M,N,N,0,90000.0,545040.0,450000.0,Unaccompanied,Working,Secondary / secondary special,Married,-1689,1,1,1,1,0,Laborers,2.0,TUESDAY,1
29992,134818,1,Cash loans,F,N,N,0,90000.0,1080000.0,1080000.0,Unaccompanied,Working,Higher education,Single / not married,-3878,1,1,0,1,0,Laborers,1.0,TUESDAY,1
30134,134980,1,Cash loans,M,N,N,0,135000.0,675000.0,675000.0,Unaccompanied,Working,Higher education,Married,-1970,1,1,1,1,0,Core staff,2.0,WEDNESDAY,1
30229,135088,1,Cash loans,F,N,N,0,90000.0,284400.0,225000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,-1760,1,1,1,1,0,Cleaning staff,1.0,SUNDAY,1
30466,135354,1,Cash loans,M,N,N,1,207000.0,1045854.0,873000.0,Unaccompanied,State servant,Higher education,Single / not married,-3432,1,1,1,1,0,Core staff,2.0,WEDNESDAY,1
30492,135388,1,Cash loans,F,N,N,2,67500.0,343800.0,225000.0,Unaccompanied,Working,Secondary / secondary special,Married,-2939,1,1,0,1,0,Laborers,4.0,MONDAY,1
30525,135428,1,Cash loans,F,N,N,0,112500.0,646920.0,540000.0,Unaccompanied,Working,Secondary / secondary special,Married,-1276,1,1,1,1,0,Laborers,2.0,TUESDAY,1
30597,135511,1,Cash loans,M,N,N,0,117000.0,582804.0,463500.0,Unaccompanied,Working,Higher education,Married,-1304,1,1,0,1,0,Laborers,2.0,MONDAY,1
30618,135537,1,Cash loans,M,N,N,0,112500.0,148365.0,135000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,-1574,1,1,0,1,0,Laborers,1.0,WEDNESDAY,1
30709,135642,1,Cash loans,F,N,N,0,112500.0,314100.0,225000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,-1056,1,1,0,1,0,Sales staff,2.0,THURSDAY,1
31319,136341,1,Cash loans,M,N,N,0,202500.0,536917.5,463500.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,-1767,1,1,0,1,0,Laborers,1.0,THURSDAY,1
31401,136431,1,Cash loans,F,N,N,0,103500.0,225000.0,225000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,-2568,1,1,1,1,0,Laborers,1.0,SUNDAY,1
31471,136510,1,Cash loans,F,N,N,0,180000.0,1575000.0,1575000.0,Family,Working,Higher education,Married,-1618,1,1,0,1,1,Core staff,2.0,TUESDAY,1
31477,136516,1,Cash loans,M,N,N,0,225000.0,550980.0,450000.0,Unaccompanied,Working,Secondary / secondary special,Married,-2163,1,1,0,1,0,Core staff,2.0,FRIDAY,1
31786,136870,1,Cash loans,F,N,N,2,81000.0,640080.0,450000.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,-6387,1,1,0,1,0,Medicine staff,4.0,WEDNESDAY,1
31872,136964,1,Cash loans,F,N,N,2,99000.0,284400.0,225000.0,Unaccompanied,Working,Secondary / secondary special,Married,-1409,1,1,0,1,0,Laborers,4.0,MONDAY,1
31885,136980,1,Cash loans,F,N,N,0,292500.0,781920.0,675000.0,Family,Working,Higher education,Married,-11086,1,1,0,1,0,Laborers,2.0,MONDAY,1
31965,137075,1,Cash loans,F,N,N,2,135000.0,1078200.0,900000.0,Family,State servant,Higher education,Married,-2358,1,1,1,1,0,Core staff,4.0,MONDAY,1
31975,137085,1,Cash loans,F,N,N,0,67500.0,639000.0,639000.0,Unaccompanied,Working,Secondary / secondary special,Married,-1077,1,1,0,1,0,Cooking staff,2.0,THURSDAY,1
